State,Year,Week,ILITotal,TotalPatients
Connecticut,2011,36,0,3029
Delaware,2011,36,0,0
District of Columbia,2011,36,51,1223
Georgia,2011,36,435,29126
Hawaii,2011,36,12,1352
Idaho,2011,36,43,3329
Illinois,2011,36,448,31715
Indiana,2011,36,34,7312
Iowa,2011,36,5,1508
Kansas,2011,36,35,4027
Kentucky,2011,36,7,14463
Louisiana,2011,36,170,9960
Maine,2011,36,19,3153
Maryland,2011,36,40,3534
Massachusetts,2011,36,121,20925
Michigan,2011,36,49,7212
Minnesota,2011,36,19,2939
Mississippi,2011,36,360,14513
Missouri,2011,36,8,3236
Montana,2011,36,0,1517
Nebraska,2011,36,11,1179
Nevada,2011,36,41,7338
New Hampshire,2011,36,0,2372
New Jersey,2011,36,12,3996
New Mexico,2011,36,63,3966
New York,2011,36,8,5237
North Carolina,2011,36,20,5131
North Dakota,2011,36,15,4574
Ohio,2011,36,9,7184
Oklahoma,2011,36,10,2452
Oregon,2011,36,10,1782
Pennsylvania,2011,36,76,12367
Rhode Island,2011,36,4,4569
South Carolina,2011,36,4,4817
South Dakota,2011,36,26,4033
Tennessee,2011,36,15,8349
Texas,2011,36,557,32200
Utah,2011,36,14,4316
Vermont,2011,36,28,1386
Virginia,2011,36,488,60971
Washington,2011,36,1,1070
West Virginia,2011,36,27,7775
Wisconsin,2011,36,5,2322
Wyoming,2011,36,9,2140
New York City,2011,36,670,83976
Alabama,2011,37,224,6293
Alaska,2011,37,19,1934
Arizona,2011,37,118,23650
Arkansas,2011,37,11,1003
California,2011,37,420,24015
Colorado,2011,37,121,18765
Connecticut,2011,37,2,4190
Delaware,2011,37,0,0
District of Columbia,2011,37,72,1696
Georgia,2011,37,467,33472
Hawaii,2011,37,19,1478
Idaho,2011,37,26,3952
Illinois,2011,37,439,32854
Indiana,2011,37,33,8622
Iowa,2011,37,15,2155
Kansas,2011,37,45,4585
Kentucky,2011,37,7,15353
Louisiana,2011,37,35,1764
Maine,2011,37,14,3479
Maryland,2011,37,54,4985
Massachusetts,2011,37,163,25579
Michigan,2011,37,63,11613
Minnesota,2011,37,34,3364
Mississippi,2011,37,370,15728
Missouri,2011,37,9,3532
Montana,2011,37,0,2049
Nebraska,2011,37,34,1114
Nevada,2011,37,45,7401
New Hampshire,2011,37,1,3357
New Jersey,2011,37,16,5016
New Mexico,2011,37,83,4993
New York,2011,37,9,7042
North Carolina,2011,37,36,6396
North Dakota,2011,37,20,4710
Ohio,2011,37,20,9155
Oklahoma,2011,37,20,2311
Oregon,2011,37,16,1519
Pennsylvania,2011,37,113,13857
Rhode Island,2011,37,4,5786
South Carolina,2011,37,8,5445
South Dakota,2011,37,24,4439
Tennessee,2011,37,33,11720
Texas,2011,37,591,35643
Utah,2011,37,18,5802
Vermont,2011,37,30,1380
Virginia,2011,37,601,65598
Washington,2011,37,1,1281
West Virginia,2011,37,51,8169
Wisconsin,2011,37,7,3317
Wyoming,2011,37,10,2588
New York City,2011,37,768,87136
Alabama,2011,38,234,6908
Alaska,2011,38,24,1956
Arizona,2011,38,107,23375
Arkansas,2011,38,9,1088
California,2011,38,445,25285
Colorado,2011,38,124,17043
Connecticut,2011,38,0,4229
Delaware,2011,38,0,0
District of Columbia,2011,38,74,1441
Georgia,2011,38,453,34805
Hawaii,2011,38,12,1472
Idaho,2011,38,32,3731
Illinois,2011,38,541,28025
Indiana,2011,38,53,8102
Iowa,2011,38,7,2463
Kansas,2011,38,26,4400
Kentucky,2011,38,5,17969
Louisiana,2011,38,37,1169
Maine,2011,38,16,3779
Maryland,2011,38,113,5392
Massachusetts,2011,38,169,25322
Michigan,2011,38,59,13402
Minnesota,2011,38,27,2457
Mississippi,2011,38,339,13940
Missouri,2011,38,9,3328
Montana,2011,38,1,1886
Nebraska,2011,38,14,1278
Nevada,2011,38,40,7381
New Hampshire,2011,38,3,3438
New Jersey,2011,38,24,5230
New Mexico,2011,38,80,5546
New York,2011,38,22,7785
North Carolina,2011,38,37,7102
North Dakota,2011,38,32,5390
Ohio,2011,38,10,9696
Oklahoma,2011,38,7,2213
Oregon,2011,38,23,2015
Pennsylvania,2011,38,139,14202
Rhode Island,2011,38,6,5497
South Carolina,2011,38,10,5558
South Dakota,2011,38,20,4322
Tennessee,2011,38,38,10538
Texas,2011,38,568,35448
Utah,2011,38,99,12932
Vermont,2011,38,20,1803
Virginia,2011,38,714,66060
Washington,2011,38,4,1785
West Virginia,2011,38,69,7848
Wisconsin,2011,38,18,3463
Wyoming,2011,38,18,2522
New York City,2011,38,749,89405
Alabama,2011,39,229,6610
Alaska,2011,39,29,2384
Arizona,2011,39,120,23255
Arkansas,2011,39,5,1004
California,2011,39,474,25657
Colorado,2011,39,131,17430
Connecticut,2011,39,1,4165
Delaware,2011,39,0,0
District of Columbia,2011,39,78,1673
Georgia,2011,39,563,34411
Hawaii,2011,39,17,1858
Idaho,2011,39,32,3801
Illinois,2011,39,512,33321
Indiana,2011,39,77,9055
Iowa,2011,39,12,2332
Kansas,2011,39,41,4647
Kentucky,2011,39,8,12565
Louisiana,2011,39,127,4267
Maine,2011,39,15,3844
Maryland,2011,39,105,5586
Massachusetts,2011,39,216,25786
Michigan,2011,39,80,12236
Minnesota,2011,39,44,2509
Mississippi,2011,39,415,14833
Missouri,2011,39,6,3717
Montana,2011,39,0,1668
Nebraska,2011,39,10,1071
Nevada,2011,39,56,7244
New Hampshire,2011,39,5,3323
New Jersey,2011,39,33,5716
New Mexico,2011,39,118,5927
New York,2011,39,24,7419
North Carolina,2011,39,59,6871
North Dakota,2011,39,24,4837
Ohio,2011,39,19,8932
Oklahoma,2011,39,10,1598
Oregon,2011,39,21,2799
Pennsylvania,2011,39,188,24136
Rhode Island,2011,39,12,6012
South Carolina,2011,39,6,5791
South Dakota,2011,39,22,3608
Tennessee,2011,39,44,10310
Texas,2011,39,510,36050
Utah,2011,39,103,14198
Vermont,2011,39,24,1879
Virginia,2011,39,833,68658
Washington,2011,39,0,1511
West Virginia,2011,39,59,8498
Wisconsin,2011,39,17,3388
Wyoming,2011,39,12,2729
New York City,2011,39,1023,92210
Alabama,2011,40,267,10702
Alaska,2011,40,58,3517
Arizona,2011,40,138,19794
Arkansas,2011,40,27,3584
California,2011,40,568,31504
Colorado,2011,40,153,20555
Connecticut,2011,40,3,3890
Delaware,2011,40,5,3110
District of Columbia,2011,40,96,2480
Georgia,2011,40,578,38831
Hawaii,2011,40,106,14588
Idaho,2011,40,35,3829
Illinois,2011,40,886,48153
Indiana,2011,40,97,11603
Iowa,2011,40,36,3478
Kansas,2011,40,81,8919
Kentucky,2011,40,73,17007
Louisiana,2011,40,377,13235
Maine,2011,40,23,5940
Maryland,2011,40,172,8569
Massachusetts,2011,40,190,28770
Michigan,2011,40,105,17495
Minnesota,2011,40,33,4749
Mississippi,2011,40,399,15187
Missouri,2011,40,87,9665
Montana,2011,40,0,2331
Nebraska,2011,40,19,3206
Nevada,2011,40,65,15659
New Hampshire,2011,40,4,3319
New Jersey,2011,40,49,5489
New Mexico,2011,40,136,7672
New York,2011,40,79,14840
North Carolina,2011,40,64,18251
North Dakota,2011,40,32,4709
Ohio,2011,40,85,17193
Oklahoma,2011,40,42,2684
Oregon,2011,40,9,3403
Pennsylvania,2011,40,150,20578
Rhode Island,2011,40,11,6497
South Carolina,2011,40,20,7589
South Dakota,2011,40,46,6054
Tennessee,2011,40,50,11558
Texas,2011,40,772,41347
Utah,2011,40,244,11998
Vermont,2011,40,49,3403
Virginia,2011,40,840,67252
Washington,2011,40,38,7519
West Virginia,2011,40,77,11776
Wisconsin,2011,40,26,3404
Wyoming,2011,40,24,5384
Virgin Islands,2011,40,0,0
New York City,2011,40,1544,102863
Alabama,2011,41,317,11209
Alaska,2011,41,38,2527
Arizona,2011,41,132,20106
Arkansas,2011,41,31,3578
California,2011,41,703,34038
Colorado,2011,41,117,20609
Connecticut,2011,41,5,4702
Delaware,2011,41,4,3538
District of Columbia,2011,41,92,2227
Georgia,2011,41,559,37836
Hawaii,2011,41,104,22278
Idaho,2011,41,48,3813
Illinois,2011,41,794,48283
Indiana,2011,41,132,11669
Iowa,2011,41,41,3389
Kansas,2011,41,82,10054
Kentucky,2011,41,53,16821
Louisiana,2011,41,355,12277
Maine,2011,41,28,5902
Maryland,2011,41,141,8237
Massachusetts,2011,41,297,25732
Michigan,2011,41,108,17800
Minnesota,2011,41,48,5655
Mississippi,2011,41,394,15161
Missouri,2011,41,77,9265
Montana,2011,41,2,2203
Nebraska,2011,41,11,2897
Nevada,2011,41,61,14235
New Hampshire,2011,41,12,4731
New Jersey,2011,41,44,5592
New Mexico,2011,41,97,6841
New York,2011,41,81,14635
North Carolina,2011,41,110,18837
North Dakota,2011,41,32,5025
Ohio,2011,41,114,17506
Oklahoma,2011,41,28,2689
Oregon,2011,41,25,3684
Pennsylvania,2011,41,161,19637
Rhode Island,2011,41,6,5662
South Carolina,2011,41,21,7532
South Dakota,2011,41,70,6004
Tennessee,2011,41,47,11761
Texas,2011,41,692,41222
Utah,2011,41,287,18097
Vermont,2011,41,53,3482
Virginia,2011,41,927,68447
Washington,2011,41,39,7869
West Virginia,2011,41,99,13258
Wisconsin,2011,41,17,4140
Wyoming,2011,41,20,4597
Virgin Islands,2011,41,0,0
New York City,2011,41,1743,102200
Alabama,2011,42,315,9196
Alaska,2011,42,32,3207
Arizona,2011,42,153,21231
Arkansas,2011,42,55,4220
California,2011,42,801,33614
Colorado,2011,42,123,21488
Connecticut,2011,42,17,4650
Delaware,2011,42,2,3134
District of Columbia,2011,42,106,2179
Georgia,2011,42,485,37225
Hawaii,2011,42,112,15191
Idaho,2011,42,46,3868
Illinois,2011,42,755,45660
Indiana,2011,42,130,10716
Iowa,2011,42,37,3276
Kansas,2011,42,80,10485
Kentucky,2011,42,49,19493
Louisiana,2011,42,333,13581
Maine,2011,42,30,6641
Maryland,2011,42,150,10823
Massachusetts,2011,42,275,29471
Michigan,2011,42,102,17837
Minnesota,2011,42,70,4488
Mississippi,2011,42,396,15157
Missouri,2011,42,58,8068
Montana,2011,42,1,2525
Nebraska,2011,42,9,3158
Nevada,2011,42,81,15968
New Hampshire,2011,42,7,5461
New Jersey,2011,42,48,5650
New Mexico,2011,42,160,8487
New York,2011,42,62,14069
North Carolina,2011,42,162,20404
North Dakota,2011,42,29,4662
Ohio,2011,42,124,18296
Oklahoma,2011,42,36,2953
Oregon,2011,42,21,3604
Pennsylvania,2011,42,168,20827
Rhode Island,2011,42,16,6622
South Carolina,2011,42,10,6581
South Dakota,2011,42,45,5847
Tennessee,2011,42,44,11469
Texas,2011,42,792,38842
Utah,2011,42,273,17353
Vermont,2011,42,36,3392
Virginia,2011,42,897,69938
Washington,2011,42,32,8096
West Virginia,2011,42,91,12762
Wisconsin,2011,42,25,4062
Wyoming,2011,42,44,5683
Virgin Islands,2011,42,0,0
New York City,2011,42,1703,100263
Alabama,2011,43,387,10094
Alaska,2011,43,30,3448
Arizona,2011,43,179,21851
Arkansas,2011,43,44,4397
California,2011,43,797,34784
Colorado,2011,43,127,20107
Connecticut,2011,43,9,4719
Delaware,2011,43,3,3606
District of Columbia,2011,43,104,2494
Georgia,2011,43,389,28086
Hawaii,2011,43,125,15052
Idaho,2011,43,66,4325
Illinois,2011,43,772,45577
Indiana,2011,43,118,11115
Iowa,2011,43,46,5331
Kansas,2011,43,93,10424
Kentucky,2011,43,59,16564
Louisiana,2011,43,314,13359
Maine,2011,43,42,6503
Maryland,2011,43,187,10225
Massachusetts,2011,43,301,29495
Michigan,2011,43,92,17882
Minnesota,2011,43,53,4968
Mississippi,2011,43,389,14449
Missouri,2011,43,62,8983
Montana,2011,43,4,2508
Nebraska,2011,43,79,3723
Nevada,2011,43,95,15164
New Hampshire,2011,43,21,5468
New Jersey,2011,43,45,5620
New Mexico,2011,43,181,8465
New York,2011,43,59,14343
North Carolina,2011,43,164,22134
North Dakota,2011,43,16,4681
Ohio,2011,43,119,19177
Oklahoma,2011,43,16,2036
Oregon,2011,43,19,3266
Pennsylvania,2011,43,186,20552
Rhode Island,2011,43,17,6567
South Carolina,2011,43,20,7681
South Dakota,2011,43,55,5991
Tennessee,2011,43,62,11353
Texas,2011,43,833,41091
Utah,2011,43,292,17798
Vermont,2011,43,42,3400
Virginia,2011,43,909,65470
Washington,2011,43,39,8338
West Virginia,2011,43,119,14030
Wisconsin,2011,43,36,4004
Wyoming,2011,43,43,5602
Virgin Islands,2011,43,0,0
New York City,2011,43,1718,98466
Alabama,2011,44,362,9541
Alaska,2011,44,11,1483
Arizona,2011,44,201,20240
Arkansas,2011,44,61,4798
California,2011,44,866,34869
Colorado,2011,44,116,19951
Connecticut,2011,44,7,3773
Delaware,2011,44,7,3146
District of Columbia,2011,44,95,2424
Georgia,2011,44,577,35424
Hawaii,2011,44,146,14479
Idaho,2011,44,86,4578
Illinois,2011,44,797,46641
Indiana,2011,44,150,11185
Iowa,2011,44,62,5834
Kansas,2011,44,72,9450
Kentucky,2011,44,84,17940
Louisiana,2011,44,420,16869
Maine,2011,44,26,6547
Maryland,2011,44,160,9411
Massachusetts,2011,44,315,30104
Michigan,2011,44,117,17272
Minnesota,2011,44,84,5403
Mississippi,2011,44,412,14454
Missouri,2011,44,88,9322
Montana,2011,44,4,2258
Nebraska,2011,44,81,3229
Nevada,2011,44,99,9701
New Hampshire,2011,44,14,5149
New Jersey,2011,44,60,5453
New Mexico,2011,44,195,7711
New York,2011,44,83,15746
North Carolina,2011,44,178,22311
North Dakota,2011,44,24,3966
Ohio,2011,44,138,18259
Oklahoma,2011,44,28,2452
Oregon,2011,44,25,3672
Pennsylvania,2011,44,206,21019
Rhode Island,2011,44,26,6759
South Carolina,2011,44,31,7687
South Dakota,2011,44,56,5993
Tennessee,2011,44,60,12466
Texas,2011,44,768,40940
Utah,2011,44,352,18010
Vermont,2011,44,62,3718
Virginia,2011,44,938,64590
Washington,2011,44,55,8249
West Virginia,2011,44,140,14255
Wisconsin,2011,44,15,3908
Wyoming,2011,44,40,5005
Virgin Islands,2011,44,0,0
New York City,2011,44,2080,100148
Alabama,2011,45,396,9445
Alaska,2011,45,25,2129
Arizona,2011,45,198,19825
Arkansas,2011,45,67,4867
California,2011,45,784,36056
Colorado,2011,45,108,21059
Connecticut,2011,45,19,6264
Delaware,2011,45,10,3529
District of Columbia,2011,45,125,2312
Georgia,2011,45,623,35880
Hawaii,2011,45,115,12031
Idaho,2011,45,73,4744
Illinois,2011,45,742,45066
Indiana,2011,45,130,11526
Iowa,2011,45,30,5998
Kansas,2011,45,78,9797
Kentucky,2011,45,54,18632
Louisiana,2011,45,289,11680
Maine,2011,45,44,6221
Maryland,2011,45,159,8910
Massachusetts,2011,45,306,30419
Michigan,2011,45,119,17719
Minnesota,2011,45,88,5275
Mississippi,2011,45,467,14477
Missouri,2011,45,63,9290
Montana,2011,45,0,2209
Nebraska,2011,45,84,3324
Nevada,2011,45,93,15960
New Hampshire,2011,45,15,5259
New Jersey,2011,45,55,5478
New Mexico,2011,45,154,8171
New York,2011,45,62,15522
North Carolina,2011,45,201,22080
North Dakota,2011,45,25,3597
Ohio,2011,45,148,17405
Oklahoma,2011,45,23,1423
Oregon,2011,45,15,3216
Pennsylvania,2011,45,228,21750
Rhode Island,2011,45,38,6269
South Carolina,2011,45,29,7815
South Dakota,2011,45,44,6218
Tennessee,2011,45,99,12495
Texas,2011,45,876,41949
Utah,2011,45,383,16511
Vermont,2011,45,49,3794
Virginia,2011,45,1023,66698
Washington,2011,45,41,7955
West Virginia,2011,45,136,14429
Wisconsin,2011,45,28,3903
Wyoming,2011,45,40,5594
Virgin Islands,2011,45,0,0
New York City,2011,45,2131,102437
Alabama,2011,46,286,8711
Alaska,2011,46,9,1764
Arizona,2011,46,250,20747
Arkansas,2011,46,74,5682
California,2011,46,992,37756
Colorado,2011,46,152,21596
Connecticut,2011,46,11,5518
Delaware,2011,46,13,3640
District of Columbia,2011,46,119,2098
Georgia,2011,46,569,37103
Hawaii,2011,46,131,14394
Idaho,2011,46,100,4934
Illinois,2011,46,819,46311
Indiana,2011,46,115,11214
Iowa,2011,46,51,5785
Kansas,2011,46,65,10703
Kentucky,2011,46,57,15257
Louisiana,2011,46,356,12619
Maine,2011,46,31,6590
Maryland,2011,46,183,8608
Massachusetts,2011,46,261,30308
Michigan,2011,46,88,16687
Minnesota,2011,46,71,5566
Mississippi,2011,46,438,12397
Missouri,2011,46,95,8760
Montana,2011,46,3,2494
Nebraska,2011,46,9,2713
Nevada,2011,46,94,17074
New Hampshire,2011,46,23,6046
New Jersey,2011,46,66,5444
New Mexico,2011,46,235,7840
New York,2011,46,63,14204
North Carolina,2011,46,193,22332
North Dakota,2011,46,20,3817
Ohio,2011,46,116,17555
Oklahoma,2011,46,64,2918
Oregon,2011,46,27,2930
Pennsylvania,2011,46,201,20529
Rhode Island,2011,46,18,6968
South Carolina,2011,46,25,7370
South Dakota,2011,46,41,6230
Tennessee,2011,46,57,10550
Texas,2011,46,915,42117
Utah,2011,46,363,16515
Vermont,2011,46,47,4262
Virginia,2011,46,1050,69646
Washington,2011,46,55,8190
West Virginia,2011,46,95,12169
Wisconsin,2011,46,26,3839
Wyoming,2011,46,38,5847
Virgin Islands,2011,46,0,0
New York City,2011,46,2156,103511
Alabama,2011,47,337,7912
Alaska,2011,47,10,1728
Arizona,2011,47,219,16523
Arkansas,2011,47,47,2925
California,2011,47,594,23645
Colorado,2011,47,84,16363
Connecticut,2011,47,0,1333
Delaware,2011,47,3,3132
District of Columbia,2011,47,70,1123
Georgia,2011,47,599,28210
Hawaii,2011,47,88,9193
Idaho,2011,47,53,3661
Illinois,2011,47,783,38497
Indiana,2011,47,91,8247
Iowa,2011,47,11,3983
Kansas,2011,47,70,7350
Kentucky,2011,47,51,19976
Louisiana,2011,47,290,11482
Maine,2011,47,22,4064
Maryland,2011,47,128,6321
Massachusetts,2011,47,241,22100
Michigan,2011,47,76,11611
Minnesota,2011,47,78,4010
Mississippi,2011,47,430,14968
Missouri,2011,47,70,5909
Montana,2011,47,7,1541
Nebraska,2011,47,15,2339
Nevada,2011,47,87,12807
New Hampshire,2011,47,11,3849
New Jersey,2011,47,54,3831
New Mexico,2011,47,222,6833
New York,2011,47,36,9805
North Carolina,2011,47,103,13108
North Dakota,2011,47,38,3096
Ohio,2011,47,97,12039
Oklahoma,2011,47,15,1491
Oregon,2011,47,37,2526
Pennsylvania,2011,47,193,14603
Rhode Island,2011,47,6,4520
South Carolina,2011,47,10,5038
South Dakota,2011,47,39,4516
Tennessee,2011,47,63,7104
Texas,2011,47,722,32601
Utah,2011,47,388,16343
Vermont,2011,47,55,2600
Virginia,2011,47,1009,63057
Washington,2011,47,39,4762
West Virginia,2011,47,84,10180
Wisconsin,2011,47,21,2341
Wyoming,2011,47,24,3963
Virgin Islands,2011,47,0,0
New York City,2011,47,2216,90140
Alabama,2011,48,318,9571
Alaska,2011,48,20,2087
Arizona,2011,48,242,20816
Arkansas,2011,48,104,5544
California,2011,48,511,30312
Colorado,2011,48,141,20683
Connecticut,2011,48,7,4440
Delaware,2011,48,14,3327
District of Columbia,2011,48,96,2074
Georgia,2011,48,520,33176
Hawaii,2011,48,134,14389
Idaho,2011,48,98,4650
Illinois,2011,48,772,45037
Indiana,2011,48,120,10672
Iowa,2011,48,38,6204
Kansas,2011,48,66,10165
Kentucky,2011,48,77,19407
Louisiana,2011,48,355,12028
Maine,2011,48,36,6640
Maryland,2011,48,176,9206
Massachusetts,2011,48,261,30240
Michigan,2011,48,86,16636
Minnesota,2011,48,75,5567
Mississippi,2011,48,426,12646
Missouri,2011,48,86,8377
Montana,2011,48,7,2373
Nebraska,2011,48,86,3648
Nevada,2011,48,94,15201
New Hampshire,2011,48,19,5731
New Jersey,2011,48,59,5322
New Mexico,2011,48,201,7662
New York,2011,48,87,14111
North Carolina,2011,48,170,21365
North Dakota,2011,48,15,3320
Ohio,2011,48,120,17170
Oklahoma,2011,48,48,2333
Oregon,2011,48,32,3779
Pennsylvania,2011,48,217,18405
Rhode Island,2011,48,33,7033
South Carolina,2011,48,28,7513
South Dakota,2011,48,37,6395
Tennessee,2011,48,65,11659
Texas,2011,48,802,39772
Utah,2011,48,332,17294
Vermont,2011,48,75,4073
Virginia,2011,48,1144,68123
Washington,2011,48,42,8260
West Virginia,2011,48,92,12657
Wisconsin,2011,48,36,3938
Wyoming,2011,48,35,5543
Virgin Islands,2011,48,0,0
New York City,2011,48,2517,101973
Alabama,2011,49,387,8501
Alaska,2011,49,15,2133
Arizona,2011,49,223,19587
Arkansas,2011,49,79,5042
California,2011,49,883,32659
Colorado,2011,49,137,19803
Connecticut,2011,49,8,2447
Delaware,2011,49,25,3654
District of Columbia,2011,49,101,1939
Georgia,2011,49,440,24137
Hawaii,2011,49,119,13377
Idaho,2011,49,73,4484
Illinois,2011,49,694,42674
Indiana,2011,49,109,9788
Iowa,2011,49,47,5786
Kansas,2011,49,71,9546
Kentucky,2011,49,84,18517
Louisiana,2011,49,321,11949
Maine,2011,49,35,6258
Maryland,2011,49,152,8791
Massachusetts,2011,49,245,29347
Michigan,2011,49,91,16362
Minnesota,2011,49,66,5206
Mississippi,2011,49,405,9452
Missouri,2011,49,72,8128
Montana,2011,49,4,2289
Nebraska,2011,49,22,2937
Nevada,2011,49,82,10184
New Hampshire,2011,49,16,4590
New Jersey,2011,49,59,5326
New Mexico,2011,49,163,7081
New York,2011,49,101,14511
North Carolina,2011,49,147,19581
North Dakota,2011,49,25,3359
Ohio,2011,49,101,17569
Oklahoma,2011,49,35,2081
Oregon,2011,49,20,3593
Pennsylvania,2011,49,180,17883
Rhode Island,2011,49,15,6699
South Carolina,2011,49,37,7371
South Dakota,2011,49,55,6126
Tennessee,2011,49,106,10948
Texas,2011,49,608,32112
Utah,2011,49,297,17258
Vermont,2011,49,58,3612
Virginia,2011,49,1014,66582
Washington,2011,49,28,7989
West Virginia,2011,49,85,12875
Wisconsin,2011,49,35,3914
Wyoming,2011,49,29,5323
Virgin Islands,2011,49,0,0
New York City,2011,49,2586,102919
Alabama,2011,50,425,8755
Alaska,2011,50,11,1948
Arizona,2011,50,193,18359
Arkansas,2011,50,70,4877
California,2011,50,951,31476
Colorado,2011,50,141,20269
Connecticut,2011,50,21,3535
Delaware,2011,50,16,3796
District of Columbia,2011,50,106,2307
Georgia,2011,50,553,23637
Hawaii,2011,50,125,13202
Idaho,2011,50,90,4257
Illinois,2011,50,772,36777
Indiana,2011,50,103,9936
Iowa,2011,50,39,3356
Kansas,2011,50,80,8189
Kentucky,2011,50,47,18752
Louisiana,2011,50,449,12049
Maine,2011,50,32,5857
Maryland,2011,50,182,8918
Massachusetts,2011,50,296,28783
Michigan,2011,50,113,16084
Minnesota,2011,50,62,4676
Mississippi,2011,50,494,13080
Missouri,2011,50,107,8008
Montana,2011,50,3,2311
Nebraska,2011,50,107,3668
Nevada,2011,50,110,15995
New Hampshire,2011,50,18,5019
New Jersey,2011,50,57,5139
New Mexico,2011,50,132,6881
New York,2011,50,82,14117
North Carolina,2011,50,166,18793
North Dakota,2011,50,36,3405
Ohio,2011,50,107,15868
Oklahoma,2011,50,22,2295
Oregon,2011,50,31,2473
Pennsylvania,2011,50,192,16006
Rhode Island,2011,50,23,6659
South Carolina,2011,50,22,6402
South Dakota,2011,50,64,6282
Tennessee,2011,50,52,9328
Texas,2011,50,781,37428
Utah,2011,50,343,17735
Vermont,2011,50,58,3665
Virginia,2011,50,1116,65565
Washington,2011,50,47,7141
West Virginia,2011,50,79,13426
Wisconsin,2011,50,27,3811
Wyoming,2011,50,22,5289
Virgin Islands,2011,50,0,0
New York City,2011,50,2592,102793
Alabama,2011,51,394,7255
Alaska,2011,51,10,1936
Arizona,2011,51,192,17481
Arkansas,2011,51,73,3758
California,2011,51,843,23366
Colorado,2011,51,125,18202
Connecticut,2011,51,9,2464
Delaware,2011,51,6,3759
District of Columbia,2011,51,63,1545
Georgia,2011,51,778,21815
Hawaii,2011,51,98,11472
Idaho,2011,51,58,3491
Illinois,2011,51,840,39205
Indiana,2011,51,89,7893
Iowa,2011,51,33,2240
Kansas,2011,51,70,7645
Kentucky,2011,51,49,18451
Louisiana,2011,51,338,12422
Maine,2011,51,29,5148
Maryland,2011,51,174,6996
Massachusetts,2011,51,319,24847
Michigan,2011,51,88,13265
Minnesota,2011,51,67,3086
Mississippi,2011,51,529,13316
Missouri,2011,51,84,6607
Montana,2011,51,3,1554
Nebraska,2011,51,82,3202
Nevada,2011,51,97,8956
New Hampshire,2011,51,11,4985
New Jersey,2011,51,28,4350
New Mexico,2011,51,170,6644
New York,2011,51,57,11601
North Carolina,2011,51,129,11318
North Dakota,2011,51,30,3929
Ohio,2011,51,69,13396
Oklahoma,2011,51,20,1374
Oregon,2011,51,44,2551
Pennsylvania,2011,51,203,12511
Rhode Island,2011,51,18,5261
South Carolina,2011,51,17,4992
South Dakota,2011,51,44,5869
Tennessee,2011,51,36,7203
Texas,2011,51,779,34181
Utah,2011,51,343,15522
Vermont,2011,51,62,2777
Virginia,2011,51,1145,65366
Washington,2011,51,47,6048
West Virginia,2011,51,90,11717
Wisconsin,2011,51,27,2675
Wyoming,2011,51,21,4677
Virgin Islands,2011,51,0,0
New York City,2011,51,2690,97255
Alabama,2011,52,416,7170
Alaska,2011,52,12,1812
Arizona,2011,52,213,15614
Arkansas,2011,52,59,3253
California,2011,52,718,16494
Colorado,2011,52,123,16629
Connecticut,2011,52,10,1699
Delaware,2011,52,8,3352
District of Columbia,2011,52,101,1443
Georgia,2011,52,714,19971
Hawaii,2011,52,100,9195
Idaho,2011,52,92,3308
Illinois,2011,52,1020,37940
Indiana,2011,52,109,7303
Iowa,2011,52,22,3457
Kansas,2011,52,77,6245
Kentucky,2011,52,37,13220
Louisiana,2011,52,314,10399
Maine,2011,52,25,4398
Maryland,2011,52,150,5701
Massachusetts,2011,52,279,19527
Michigan,2011,52,65,8980
Minnesota,2011,52,95,2923
Mississippi,2011,52,666,16067
Missouri,2011,52,119,6111
Montana,2011,52,2,1206
Nebraska,2011,52,124,2558
Nevada,2011,52,116,8747
New Hampshire,2011,52,8,3259
New Jersey,2011,52,15,2412
New Mexico,2011,52,198,6846
New York,2011,52,36,7912
North Carolina,2011,52,149,9795
North Dakota,2011,52,16,3691
Ohio,2011,52,65,12112
Oklahoma,2011,52,13,1027
Oregon,2011,52,29,2312
Pennsylvania,2011,52,228,10825
Rhode Island,2011,52,7,3117
South Carolina,2011,52,37,4321
South Dakota,2011,52,49,4542
Tennessee,2011,52,45,5163
Texas,2011,52,713,30692
Utah,2011,52,381,15902
Vermont,2011,52,79,2829
Virginia,2011,52,1359,68808
Washington,2011,52,43,4510
West Virginia,2011,52,92,9752
Wisconsin,2011,52,17,1884
Wyoming,2011,52,25,4473
Virgin Islands,2011,52,0,0
New York City,2011,52,2606,93978
Alabama,2012,1,389,8437
Alaska,2012,1,13,1867
Arizona,2012,1,225,17487
Arkansas,2012,1,75,4269
California,2012,1,854,24359
Colorado,2012,1,127,19454
Connecticut,2012,1,19,2580
Delaware,2012,1,19,3709
District of Columbia,2012,1,88,1646
Georgia,2012,1,609,24892
Hawaii,2012,1,128,11150
Idaho,2012,1,68,4187
Illinois,2012,1,888,40324
Indiana,2012,1,92,8609
Iowa,2012,1,41,4402
Kansas,2012,1,59,7710
Kentucky,2012,1,62,17922
Louisiana,2012,1,397,11612
Maine,2012,1,23,5657
Maryland,2012,1,155,8087
Massachusetts,2012,1,295,24258
Michigan,2012,1,74,12249
Minnesota,2012,1,61,3375
Mississippi,2012,1,488,16381
Missouri,2012,1,132,7243
Montana,2012,1,2,1659
Nebraska,2012,1,81,3396
Nevada,2012,1,84,8887
New Hampshire,2012,1,15,4080
New Jersey,2012,1,39,3708
